city,company_name,contact_person,designation,email,fax,mobile,phone,pincode,state,street_Address,website
KOLKATA,ZEST INDIA TOURS,MR. KAUSHIK GHOSH,PARTNER,kaushik.ghosh@zestindiatours.com,.,91.9733038135,033 - 65483095 / 24166607,700075,WEST BENGAL,"A-61, SURVEY PARK, SANTOSHPUR, SANTOSHPUR",www.zestindiatours.com
MUMBAI,ZAIREEN TRAVEL SERVICE,MR.FAISAL SIDDIQUI,PARTNER,info@zaireen.com,022-22615033,.,"022-22617516/17/18, 22615",400001,MAHARASHTRA,"15/9, ALKARIM MANZIL, PALTON ROAD",www.zaireen.com
NEW DELHI,YATRIK.COM TOURS AND TRAVELS P.LTD.,MR. SUJIT KUMAR BANERJEE,DIRECTOR,yatrik.com@vsnl.com,011-40576666,.,"011-40576600, (R) 2667266",110 017,DELHI,"405 AVANTIKA, 13 LOCAL SHOPPING CENTRE AVENUE-21, NEAR 'J' BLOCK, SAKET",www.yatrik.com
KATHMANDU,YETI TRAVELS PVT LTD,MR. VIVEK B. BASNYAT,MANAGING DIRECTOR,yeti@yetitravels.com.np,"977-1-4226152,4226153",,"977-1-4221234, 4224740",,NEPAL,"P.O.BOX 76, DURBAR MARG",www.yetitravels.com
BHUBANESWAR,YEAR ROUND HOLIDAYS,MS. RASHMI RANJAN MUDULY,MANAGING PARTNER,yearroundholidays1@gmail.com,.,+91- 7873926263,+91- 7873926261  ,751002,ODISHA,"PLOT NO. 227/2445 NEAR JAGANNATH VIHAR, NUAGAON SISUPALGARH",www.yearroundholidays.com
DEOGHAR,YATRI VIHAR,MR. AMIT ROY,PARTNER,mahadevpalace@gmail.com,.,.,(M) 09234605431/094311835,814112,JHARKHAND,"BLC ROAD, CASTAIRS TOWN",www.hotelmahadevpalace.com
NEW DELHI,Y NOT TRAVEL,MS. ANJALI GUPTA,DIRECTOR,info@yntindia.com,011-41765894,.,011-41010400,110017,DELHI,"13, J-BLOCK MAIN MARKET SAKET",www.yntindia.com
GURGAON,YATRA ONLINE PVT. LTD.,MR.GAUTAM KAUL,COO-INBOUND TOURS,gautam.kaul@yatra.com,0124-3040779,NULL,0124-3396400,,HARYANA,"11th FLOOR, TOWER-B, UNITECH CYBER PARK, SECTOR-39",www.yatra.com
GHAZIABAD,WORLDWIDE TOUR SERVICES (P) LTD.,MR. MANOJ BHADOLA,COO,manoj@wwts.co.in,.,0091 - 981 109 7706,0091 - 981 109 7706,201010,UTTAR PRADESH,"CHAMBER NO. 10, NANDA APARTMENTS, KAUSHAMBI,",www.wwts.co.in
NEW DELHI,X.L. TOURS & TRAVELS (A UNIT OF X.L.ENTERPRISES P. LTD.),MR. S.D. KHANNA,C.E.O.,xlindia@vsnl.com,.,0091 9868153168,011 - 2805 3075,110077,DELHI,"FLAT 221, PLOT # 3A-NTO NAVAL TECHNICAL OFFICERS PLAZA,SECTOR-22, DWARKA",
NOIDA,WORLDWIDE RAIL JOURNEYS PVT. LTD.,MR. MANISH SAINI,DIRECTOR,info@worldwiderailjourneys.com,.,.,0120 - 4566660,201307,UTTAR PRADESH,"LG-07, ZYGON SQUARE, PLOT NO.-1, BLOCK H-1A, SECTOR-63",www.worldwiderailjourneys.com
FARIDABAD,WORLD YATRA TOURISM PVT. LTD.,MR. GOVIND KUMAR KUSHWAHA,DIRECTOR,worldyatra.org@gmail.com,.,.,0091 - 0129-6522774 / 775,121001,HARYANA,"SHOP NO. 31,32,33, 34,2ND FLOOR, SECTOR-31, PRISTINE MALL",www.worldyatra.org
NEW DELHI,WORLDVIEW TOURS (P) LTD.,MR.NARENDRA MOHAN,MANAGING DIRECTOR,nino@worldviewtours.com,011-26134738,,011-26134732/26134734,,DELHI,"44G/9, II FLOOR, KISHANGARH, OPP.D-3 CHURCH ROAD, VASANT KUNJ",www.worldviewtours.com
DELHI,WORLD VISION TRAVELS PVT. LTD.,MR. KAMAL DHINGRA  ,MANAGING DIRECTOR,kamal@wvtravels.in,..,+91-9810236292,+91-11-42481987- 45769830,110034,DELHI,"ROOM NO. 911, 9TH FLOOR PEARLS OMAXE TOWER-II,NETAJI SUBHASH PLACE, PITAMPURA	",.
MUMBAI,WORLD TRAVEL SERVICES Div.of WTS Travel Services Pvt.Ltd.,MR. DARSHAN D. MEHTA,M.D.,darshan.dd14@gmail.com,0091-22-66942146,.,0091-22-66942147-51,400053,MAHARASHTRA,"245, LAXMI PLAZA, LAXMI IND. ESTATE NEW LINK ROAD, ANDHERI (W)",www.wtsindia.com
NEW DELHI,WORLD EXPEDITIONS (I) P LTD,MR. HARSH VARDHAN SHARMA,DIRECTOR,worldexpeditions@vsnl.com,011-41649357,,"011-41649358, 41649359,41",,DELHI,"GF, MG BHAWAN-I 7, LOCAL SHOPPING CENTRE, MADANGIR",
CHENNAI,WORLD PARK HOTELS (INDIA) LTD.,MR. T.N.C. VIJAYASARATHY,PRESIDENT & MANAGING DIRECTOR,worldparkhotels@hotmail.com,044-52127117,.,"044-52127447, (R) 5212788",600017,TAMIL NADU,"NEW NO. 38, RAMAN STREET T. NAGAR",www.worldparkhotels.in
NEW DELHI,WORLD TOUR & TRAVEL,MR. FIRDOUS AHMED HAROON,PARTNER,wttravel@bol.net.in,011-23352846,.,"011-23713734, 23353861",110001,DELHI,"206, II FLOOR, AMRIT CHAMBER 76-77, SCINDIA HOUSE, JANPATH",
GHAZIABAD,WORLD SQUARE HOTELS PVT. LTD.,MR. M.R. JUNEJA,.,info@worldsquarehotel.com,.,.,"0091 - 120-4667777, 4667",.,UTTAR PRADESH,"3RD FLOOR, WORLD SQUARE MALL, KATORI MILLS COMPOUND, MOHAN NAGAR",www.worldsquarehotel.com
NEW DELHI,WIZARD EVENTS & CONFERENCES PVT. LTD.,MR. KAPIL ARORA,DIRECTOR,kapil@wizard-events.in,.,.,011-43526666/61/62,110053,DELHI,"C-3/160, YAMUNA VIHAR",www.wizard-events.in
MUMBAI,WIYO TRAVEL,MR. J. KANTAWALA,PARTNER,jay.kantawala@wiyotravel.com,.,+91 .,0091-22- 66611133,400018,MAHARASHTRA,"211 SHAH & NAHAR ESTATE, OFF DR. E. MOSES ROAD, WORLI",www.wiyotravel.com
NEW DELHI,WORLD ESCAPES INDIA PVT. LTD.,MR. ARUN KAPOOR,DIRECTOR SALES,sales@worldescapes.co.in,.,0091-9871167848,011-65459595,110078,DELHI,"PLOT NO.36, BUILDING NO.12 3RD FLOOR, MOHIT NAGAR, SECTOR-15, DWARKA",www.worldescapes.co.in
MUMBAI,WINGSPAN AVIATION (I) PVT. LTD.,MR. NEERAJ RATHI,CMD,info@wingspanindia.com,022-66249020,0091 9891336699,022-66249000,21,MAHARASHTRA,"16, RAHEJA CENTRE GROUND FLOOR, NARIMAN POINT",www.wingspanindia.com
NEW DELHI,WISE TRAVEL INDIA PVT. LTD.,MR.ASHOK VASHIST,CEO,ashok@wti.co.in,011-25614492,.,011-40131310,110075,DELHI,"303 B-D21, CORPORATE PARK, SECTOR-21, DWARKA",www.wti.co.in
NEW DELHI,WISH BONE INDIA,MR.AMIT AGGARWAL,PARTNER,info@wbi.co.in,011-44434450,.,011-44434443,110024,DELHI,"D-25, GROUND FLOOR, LAJPAT NAGAR,PART-II",www.wbi.co.in
MUMBAI,WINGS TRAVEL & TOURS CO.,MS. VASUKI K. SUNDARAM,FOUNDER & CEO,wingspackages@gmail.com,0091-22-24160457,+91 +91 +91 +91 +91 +91 0091- 9920038,0091- 22 - 39571101,400 022,MAHARASHTRA,"8/263, NAROTTAM NIVAS CO-OP SOC LTD,OPP. GANDHI MARKET, SION MAIN ROAD, SION WEST",www.wingstravel.co.in
NEW DELHI,WILDERNESS EXPERIENCE TRAVELS (P) LTD.,MR.RIGZIN NAMGYAL,DIRECTOR,rigzin@wildexp.com,011-28042432,.,011-28042432,110075,DELHI,"OFF NO. 230, VARDHMAN CROWN MALL PLOT NO.2, SECTOR-19B, DWARKA",www.wildernessexperiencetravels.com
SRINAGAR,WHALE TRAVELS,MR. MOHD. HAFIZ SHALLA,PROPRIETOR,whaletravel@yahoo.com,0194-2473980,.,0194-2453637,190001,JAMMU & KASHMIR,NEHRU PARK POINT DALGATE,
NEW DELHI,WIND HORSE INDIA TOURS,MR. SANTOSH GUPTA,PARTNER,india@windhorsetours.com,011-27875922,.,"011-27294057,65927108",110 089,DELHI,"B-3/36, FIRST FLOOR,  SECTOR 16 ROHINI",www.windhorsetours.com
CHENNAI,WHEELS TOURIST TRANSPORT OPERATORS,MR. I.R. COOMARASWAMI,MG. PARTNER,wheelstransport@vsnl.com,.,.,"044-43302033, 43322022",600 020,TAMIL NADU,"DOOR NO.16/8, PLOT NO.172, 22ND CROSS STREET, INDIRA NAGAR, ADYAR",www.wheelstransport.com
MUMBAI,WEST END HOTEL PVT. LTD.,MR. SUNDER AWATRAMANI,M.D.,mail@westendhotelmumbai.com,022-40839100,.,"022-40839121, 40839121",400020,MAHARASHTRA,"45, NEW MARINE LINES",www.westendhotelmumbai.com
JAIPUR,WESTERN INDIA NATURE TOURS PVT. LTD.,MR. BHAGWAN SINGH NATHAWAT,DIRECTOR,winjpr@hotmail.com,0141-2359630,0.9950336883,0141- 2220509,302001,RAJASTHAN,"PLOT NO. 188, F-1, FIRST FLOOR, JATA SHANKAR APARTMENT NEAR BAGADIYA BHAWAN, SUBHASH MARG ‘C” SCHEME",www.westernindianature.com
SILIGURI,WIND OZ (India) Vacations Pvt Ltd.,MR. DEBASHIS CHAKROBARTY,DIRECTOR,info@windozslg.com,0353 - 2540492,9434072552 / 9932317299,0353 - 2540809,734001,WEST BENGAL,"SAHID BHAGAT SINGH COMMERCIAL MARKET COMPLEX , 01ST  FLOOR ,STALL NO. R1-1 & R1-2, SEVOKE ROAD",www.windozslg.com
NEW DELHI,WELGROW TRAVELS (P) LTD.,MR. SAURABH KHANIJO,DIRECTOR,info@welgrowgroup.com,011-26692375,0091 - 9811547470,011-43130500,110017,DELHI,"5, COMMUNITY CENTRE, 2ND FLOOR SAKET",www.welgrowgroup.com
JABALPUR,WILD EXPEDITIONS TOURS & TRAVELS,MR. DEEPAK RAI,PROPRIETOR,deepak@wildexpeditionindia.com,0761-2427950,9425800026,"0761-2626870, 2626970 (M)",482 001,MADHYA PRADESH,"TF-4, GREEN VIEW APARTMENT, CARAVAS, SOUTH CIVIL LINES, STATION ROAD",
NEW DELHI,WelcomHeritage,MR. SUNIL GUPTA,CEO,sunil.gupta@welcomheritagehotels.in,0091-11-46035528,0091-99 99 88 2201,0091-11-46035500,110057,DELHI,"25, COMMUNITY CENTRE, 4TH FLOOR, BASANT LOK, VASANT VIHAR",www.welcomheritagehotels.in
LADAKH,WINDHORSE EXPEDITIONS INDIA,MR.TSERING NAMGYAL,MANAGING DIRECTOR,windhorseleh@gmail.com,.,0091 -  9419177608,"01982-255850, 251545",194101,JAMMU & KASHMIR,"1ST FLOOR, KANGLACHAN COMPLEX, OPP. CMO OFFICE, KARZOO ROAD",
NEW DELHI,WELCOME TRAVELS,MR. RAMESH WATTAL,DIRECTOR,welcometravel@vsnl.com,011-26443037/41617819,#ERROR!,"011-26424638, 26214638",,DELHI,"209, SKIPPER CORNER 88, NEHRU PLACE",www.welcometravel.com
CHENNAI,WELCOME TOURS AND TRAVELS CHENNAI PVT. LTD.,MR. D. KARUNANIDHI,DIRECTOR,tours@allindiatours.com,044-28461645,NULL,044- 28460677,,TAMIL NADU,"150, MOUNT ROAD",www.allindiatours.com
KOCHI,WEEKS TOUR,MR. WILSON XAVIER,PROPRIETOR,weekstourgroup@gmail.com,0484 - 22 22 632,0091- 944 70 223 70,0484 - 22 22 632,682002,KERALA,"6/1295 (M), indian chamber building",www.weekstour.com
NEW DELHI,WANDERLUST TRAVELS PVT. LTD.,MAJ. S.K. YADAV,MANAGING DIRECTOR,travel@wanderlustindia.com,.,91 - 9810530004,"011-29228483, 40537116",110048,DELHI,"G-18, BASEMENT , MASJID MOTH , GK-2",www.wanderlustindia.com
LUCKNOW,WALTZ TOURS & TRAVELS PVT LTD.,MR. AJAY KUMAR JAIN,DIRECTOR,waltzindia@gmail.com,0522-4106356,.,0522-4106356,226024,UTTAR PRADESH,"L-6/87, SECTOR L, ALIGANJ",www.waltzindia.in
NEW DELHI,WAYMARK ADVENTURES,MR. SWAMI RAJ DHAR,DIRECTOR,waymark@vsnl.com,011-29812372,.,"011-29815686, 29811628",110024,DELHI,"C-80, LAJPAT NAGAR PART-II",www.himalayaadventure.com
NEW DELHI,WANDER GLOBE INC.,MS. SHIBANI AHUJA KAPOOR,MG. PARTNER,info@wanderglobe.in,.,0091-9811004344,"011-65154032,40516434",110020,DELHI,"T-28, OKHLA INDUSTRIAL PHASE -2",www.wamderglobe.in
NEW DELHI,VUE INDIA TOURS PVT. LTD.,MR. VIPAN SHARMA,MANAGING DIRECTOR,inbound@aircruise.co.in,011-46556050,,011-46556066,,DELHI,"C-101-102, LAJPAT NAGAR-I",www.vueindiatours.com
CALICUT,VYTHIRI RESORT,MR. JOSE KYNADI,MANAGING DIRECTOR,vythiri@serenaspa.com,04936-255368,.,0495-2761236/37,673006,KERALA,"5/214, NEAR: PASSPORT OFFICE ERANHIPALAM",www.vythiriresort.com
NEW DELHI,VRG HOSPITALITIES PVT. LTD,MR. BHALINDER GHAI ,DIRECTOR,bhalinder@vrgroup.in,.,0091- 9910410000,0091- 11-41008425 ,110066,DELHI,"108, ANSAL CHAMBER-II, BHIKAJI CAMA PLACE",www.vrgroup.in
NEW DELHI,WALJIS TRAVELS (I) PVT LTD,MR.HARMEET SINGH,CEO,tours@wtravels.in,,#ERROR!,"011- 41649030, 41649031",,DELHI,"15, LOCAL SHOPPING CENTRE MADANGIR (PUSHP VIHAR)",www.wtravels.in
THIRUVANANTHAPURAM,VOYAGES KERALA,MR. SANJEEV KUMAR,CEO,tours@voyageskerala.com,0471-2572071,.,"0471-6451810, 2572070/71",695008,KERALA,"PGRA-50 TC 36/168, PERUNTHANNI, VALLAKKADAVU P.O.",www.voyageskerala.com
NEW DELHI,VOGUE TRAVELS,MR. SUMIT SHARMA,MANAGING PARTNER,reservations@voguetravels.com,011-47082654,+91 9911177243,011-25752759,110005,DELHI,"OFFICE NO. 303, 9A/1, 3rd FLOOR W.E.A. CHANNA MARKET, KAROL BAGH",www.voguetravels.com
NEW DELHI,VOYAGES,MR. TARIQ AHMAD WANI,PROPRIETOR,incredibleindia@yandex.ru,.,0091-981 062 2135,0091-981 062 2135,1100059,DELHI,"B-25, SECOND FLOOR - BACK SIDE, SAINIK NAGAR, UTTAM NAGAR",www.voyagesofindia.com
JAIPUR,VIVINDIA TOURS AND WEB TRAVELS,MR.MUBARIK ALI KHAN,PROPRIETOR,mubiali@ymail.com,0141-2352584,.,0141-2352584,302012,RAJASTHAN,"84, MAHANT COLONY, KHATIPURA NEAR MASJID KHATIPURA",www.vivindia.com
CALICUT,VIVEKANANDA TRAVELS (P) LTD.,MR. C. NARENDRAN,CHAIRMAN & MANAGING DIRECTOR,info@vivekanandatravelspltd.com,"0495-2727100, 272800",0091 -904854680,"0495-2727800,2727100,2725",673004,KERALA,"S.K. TEMPLE COMPLEX, KOZHIKODE",www.vivekanandatravelspltd.com
KOLKATA,VIVADA CORPORATION (P) LTD.,MS. R. SUSHILA,EXECUTIVE DIRECTOR,info@vivadacruises.com,033-24631994,.,0091 -33-24631991,700026,WEST BENGAL,"14, SOUTHERN AVENUE CHATURDOSI APARTMENT, 3rd FLOOR",www.vivadacruises.com
JAIPUR,VNV TRAVEL PLAN PVT. LTD.,MR. N.S. RATHOR,MG. PARTNER,tplanjai@detainfosys.net,0141-2221959,0091 -  9829056332,"0141-2222332, 2222517",302006,RAJASTHAN,"S-4, TRITHRAJ APARTMENT, JACOB ROAD CIVIL LINES",
VARANASI,VISHAL TOURS & TRAVELS (A UNIT OF NARINDRA HOTELS PVT LTD.),MR. VISHAL SINGH,DIRECTOR,vishaltours@yahoo.com,0542-2500200,.,0542-2502981,221002,UTTAR PRADESH,"SHOP. NO-34, OPP HOTEL TAJ, MINT HOUSE, NADESAR",www.vishaltours.com
DELHI,VIRAT TOURS,MR. MANIK KUMAR,PROPRIETOR,manik@virattours.com,.,.,0091 - 11-47817703,110088,DELHI,"CA-51 D, SHALIMAR BAGH",www.virattours.com
NEW DELHI,VISION TRAVELS & TOURS PVT LTD,MR. AJAY SETH,MANAGING DIRECTOR,vttpl@yahoo.com,"011-23357022,",,"011-23351390,23715199, 23",,DELHI,"1-M, D.C.M. BUILDING 16, BARAKHAMBA ROAD",
NEW DELHI,VIVA HOLIDAYS TOURS & TRAVELS P LTD,MR. MUKESH PAL JAGGA,DIRECTOR,mukeshjagga01@gmail.com,011-26014975,.,"011-26015058,26011664, 26",110017,DELHI,"G-36, D.D.A. COMMERCIAL COMPLEX TRIVENI, SHEIKH SARAI PHASE-I",www.vivaholidaystour.com
JAIPUR,VIRASAT EXPERIENCES,MR. VIPUL KUMAR,DIRECTOR,vipul@virasatexperiences.com,..,.,0141-5109090-95,302016,RAJASTHAN,"C/O OM NIWAS, E-23, KAUSHALYA MARG BANI PARK",www.virasatexperiences.com
KOLKATA,VINAYAKA AIR TRAVEL AGENCY,MR. CHANDRAPRAKASH PODDAR,PARTNER,info@vinayakaair.co.in,.,.,033-64997770/74/75/76,700091,WEST BENGAL,"FORTUNA TOWER, 23A NETAJI SUBHASH ROAD 1ST FLOOR, ROOM NO.8",www.vinayakaair.com
NEW DELHI,VINTAGE RIDES PVT. LTD.,MR.ALEXANDRE LE BEUAN,DIRECTOR,contact@vintagerides.com,.,.,0091 -11-41007806,110020,DELHI,"C-65, OKHLA INDUSTRIAL AREA, PHASE-1",www.vinatgerides.com
NEW DELHI,VINSTRING HOLIDAYS PVT. LTD.,MR. NAVNEET ARORA,DIRECTOR,india@vinstring.com,011-23368901,.,"011-23748409, 23368717, 2",110001,DELHI,"2 COMMERCIAL COMPLEX, HANUMAN ROAD CONNAUGHT PLACE",www.vinstring.com
NEW DELHI,VIN TOURS,MR. KABI GHOSH,C.E.O,vintour@gmail.com,.,.,"011-26325877, 26325879, 4",110 025,DELHI,"D-5, SHOPPING ARCADE, HOTEL THE SURYAA NEW FRIENDS COLONY,",www.vintours.com
NAVRANGPURA,VINAYAK HOLIDAYS,MR. SURENDRA KUMAR,PROPRIETOR,info@vinayakholidays.com,.,.,079-26400835,ASS151201,GUJARAT,"101, ANJANI COMPLEX, BEHIND CG PAGRAKHA BAZAR, ""CHOICE RESTAURANT LANE, CG ROAD",www.vinayakholidays.com
UDAIPUR,VINAYAK HOLIDAYS,MR. SURENDRA KUMAR,PRESIDENT,surendraudr9@hotmail.com,0294-2528876,.,0294-2526477,313 001,RAJASTHAN,"LGF-3, BUSINESS CENTRE, I-C, MADHUVAN",www.fortandpalaces.com
GURGAON,VIKTORIANZ,"MAJ PRIYADARSHI CHOWDHURY (RETD.),",DIRECTOR BUSINESS DEV,priyadarshi@viktorianz.com,.,.,0124-2386252,122001,HARYANA,"3RD FLOOR VATIKA ATRIUM, SECTOR-53,",www.viktorianz.com
HOSPET,VIJAYSHREE HERITAGE VILLAGE PVT. LTD.,MR. R.RAJU BHURAT,MANAGING DIRECTOR,rajubhurat@rrbgroupindia.com,08394-225894,.,08394-225890-93,583201,KARNATAKA,V.R. BHURAT NAGARI MALPANGUDI HAMPI ROAD,
ALMORA,VILLAGE WAYS PVT. LTD.,MS.MANISHA PANDE,DIRECTOR,bookings@villageways.com,..,.,05962-251048 (M)986900564,263601,UTTARAKHAND,"KHALI ESTATE, P.O. AYARPANI",www.villageways.com
AGRA,VIAJES INDIA TOURS PVT. LTD.,MR. SERVESH KUMAR,DIRECTOR,info@viajesindiatours.com,.,.,0091-0562-2231333,282001,UTTAR PRADESH,"41-142-A-M2A, NAGLA DHEEM, NEAR KALAKRITI TAJ GANJ, FATEHABAD ROAD",www.viajesindiatours.com
KOLKATA,VICTORIA TRAVELS PVT. LTD.,MR. DEVESH KUMAR AGARWAL,M.D.,info@victoriatravels.net,.,.,"033-22821696, 20073911",700071,WEST BENGAL,"54, CHOWRINGHEE ROAD",www.victoriatravels.com
NEW DELHI,VIETRADE TOURS & TRAVELS (P) LTD.,MR.JYOTI KAPUR,DIRECTOR,nidz_kapur@hotmail.com,.,0091 - 981 014 1424,"0091- 11-24622108,24698326, 41551709",110024,DELHI,"S.F. D-161, DEFENCE COLONY",.
NEW DELHI,VIAGGINDIA TOURS & TRAVELS PVT.LTD.,MR.DHARMENDAR PARASHAR,DIRECTOR,info@viaggitourindia.com,011-45651655,.,"011-45651622, 45651633-44",,DELHI,"712-A, KIRTI SHIKHAR, DISTRICT CENTRE",www.viaggitourindia.com
JAIPUR,VERMIGO TRAVEL INDIA,MR. KEDAR VERMA,SALES,vermigotravelindia@hotmail.com,0141-2606771,0091 - 9351374434,0091-141- 4107990,302016,RAJASTHAN,"SHOP NO.21, 3RD FLOOR, SHUBASH NAGAR SHOPPING CENTRE",www.vermigotravelindia.com
NEW DELHI,VESNA TOURS PVT. LTD.,MR.MISHKAT AHMAD,DIRECTOR,mishkat@vesnatours.com,.,.,011-461 08749/50/53,1100049,DELHI,"403 -404, 04TH FLOOR, THAPAR HOUSE, COMMERCIAL COMPLEX, YUSUF SARAI",www.vesnatours.com
MUMBAI,VENTOURS INTERNATIONAL TRAVEL P.LTD,MR. OSCAR D'SOUZA/MR.RAJU SINGH/,MR.CHRISTOPHER BAPTISTA (DIRECTORS),ventbom@ventours.com,022-22851106,,"022-22855793, 22040910, 2",,MAHARASHTRA,"116, DALAMAL TOWER 211, NARIMAN POINT",www.ventours.com
NEW DELHI,VENTOURS INTERNATIONAL TRAVEL P.LTD,MR. VIVIAN PERES,DIRECTOR,ventdel@ventours.com,011-29553126,,"011-29553281/82, 29553290",,DELHI,"1, CARIAPPA MARG, SAINIK FARMS",www.ventours.com
MUMBAI,VEENA PATIL HOSPITALITY PVT. LTD.,MR. SUDHIR PATIL,DIRECTOR,sudhir@veenaworld.com,.,+91- 982 034 1535,+91 22- 2101999,400016,MAHARASHTRA,"NEELKANTH CORPORATE PARK, KIROL ROAD, VIDYAVIHAR WEST	",www.veenaworld.com 
